,film,number,abstract,starring,name,subjects,cinematography,director,gross,producer,language
60,The Bourne Legacy (film),29270563,"The Bourne Legacy is a 2012 American action-thriller film directed by Tony Gilroy, and is the fourth installment in the series of films adapted from the Jason Bourne novels originated by Robert Ludlum and continued by Eric Van Lustbader, being preceded by The Bourne Identity (2002), The Bourne Supremacy (2004), and The Bourne Ultimatum (2007). Although this film has the same title as Van Lustbader's first Bourne novel, The Bourne Legacy (2004), the actual screenplay bears little resemblance to the novel. Unlike the novel, which features Jason Bourne as the principal character, the film centers on black ops agent Aaron Cross (played by Jeremy Renner), an original character. In addition to Renner, the film stars Rachel Weisz and Edward Norton.",-Albert Finney-Edward Norton-Jeremy Renner-Joan Allen-Oscar Isaac-Rachel Weisz-Scott Glenn-Stacy Keach,The Bourne Legacy,"2010s spy films-2012 action thriller films-2012 films-American action thriller films-American films-American sequel films-American spy films-Bourne (film series)-Drone films-English-language films-Films about the Central Intelligence Agency-Films directed by Tony Gilroy-Films produced by Frank Marshall-Films scored by James Newton Howard-Films set in 2005-Films set in Alaska-Films set in Bangkok-Films set in Chicago-Films set in Karachi-Films set in Metro Manila-Films set in Montgomery County, Maryland-Films set in New York City-Films set in Palawan-Films set in Seoul-Films set in Washington, D.C.-Films shot in Alberta-Films shot in Metro Manila-Films shot in New York City-Films shot in Palawan-Films shot in Seoul-Films with screenplays by Dan Gilroy-Films with screenplays by Tony Gilroy-Government in fiction-Relativity Media films-The Kennedy/Marshall Company films-Universal Pictures films",Robert Elswit,Tony Gilroy,2.761E8,Tony Gilroy,English
61,A Good Day to Die Hard,34228306,"A Good Day to Die Hard is a 2013 American action-thriller film and the fifth installment in the Die Hard film series. The film was directed by John Moore and written by Skip Woods, and stars Bruce Willis as John McClane. The main plot finds McClane travelling to Russia to get his estranged son, Jack, an undercover CIA agent, out of prison. He is soon caught in the crossfire of a global terrorist plot. Alongside Willis, the film also stars Jai Courtney, Cole Hauser, Yulia Snigir and Sebastian Koch.",-Amaury Nolasco-Bruce Willis-Cole Hauser-Jai Courtney-Rasha Bukvić-Sebastian Koch-Sergei Kolesnikov-Yulia Snigir,A Good Day to Die Hard: Original Motion Picture Soundtrack,"2013 action thriller films-2013 films-20th Century Fox films-American action thriller films-American films-American sequel films-Die Hard-English-language films-Films about families-Films about nuclear war and weapons-Films about terrorism in Europe-Films about the Central Intelligence Agency-Films directed by John Moore-Films produced by Wyck Godfrey-Films scored by Marco Beltrami-Films set in Moscow-Films set in New York City-Films set in Ukraine-Films set in Washington, D.C.-Films shot in Belgrade-Films shot in Budapest-Films with screenplays by Skip Woods-IMAX films-Russian-language films-TSG Entertainment films",Jonathan Sela,John Moore (director),3.047E8,John Moore (director),Russian
62,The Accountant (2016 film),44388848,"The Accountant is a 2016 American action-thriller film directed by Gavin O'Connor, written by Bill Dubuque and starring Ben Affleck, Anna Kendrick, J. K. Simmons, Jon Bernthal, Cynthia Addai-Robinson, Jeffrey Tambor, and John Lithgow. The storyline follows Christian Wolff, an autistic certified public accountant who makes his living uncooking the books of criminal and terrorist organizations around the world that are experiencing internal embezzlement.",-Anna Kendrick-Ben Affleck-J. K. Simmons-Jeffrey Tambor-John Lithgow-Jon Bernthal,The Accountant,"2016 action thriller films-2016 drama films-2016 films-2016 martial arts films-American action thriller films-American films-American martial arts films-English-language films-Films about assassinations-Films about autism-Films about brothers-Films about dysfunctional families-Films about security and surveillance-Films about the United States Army's psychological operations units-Films directed by Gavin O'Connor-Films scored by Mark Isham-Films set in 1989-Films set in 2016-Films set in Illinois-Films set in Washington, D.C.-Films shot in Atlanta-Warner Bros. films",Seamus McGarvey,Gavin O'Connor (filmmaker),1.552E8,Gavin O'Connor (filmmaker),English
63,Taken 3,38964482,"Taken 3 (sometimes stylized as Tak3n) is a 2014 English-language French action-thriller film directed by Olivier Megaton and written by Luc Besson and Robert Mark Kamen. It is the third and final installment in the Taken trilogy. A co-production between France, Spain and the United States, the film stars Liam Neeson, Forest Whitaker, Maggie Grace and Famke Janssen.",Dougray Scott-Famke Janssen-Forest Whitaker-Leland Orser-Liam Neeson-Maggie Grace-Sam Spruell,Taken 3: Original Motion Picture Soundtrack,American action thriller films-American films-American films about revenge-American sequel films-English-language French films-English-language films-EuropaCorp films-Films directed by Olivier Megaton-Films scored by Nathaniel Méchaly-Films set in Afghanistan-Films set in Los Angeles-Films shot in Georgia (U.S. state)-Films shot in Los Angeles-Films with screenplays by Luc Besson-Films with screenplays by Robert Mark Kamen-French action thriller films-French films-French sequel films-French vigilante films-IMAX films-Spanish action thriller films-Spanish films-TSG Entertainment films-Taken (franchise),na,Olivier Megaton,3.264E8,Olivier Megaton,Russian
64,Taken 3,38964482,"Taken 3 (sometimes stylized as Tak3n) is a 2014 English-language French action-thriller film directed by Olivier Megaton and written by Luc Besson and Robert Mark Kamen. It is the third and final installment in the Taken trilogy. A co-production between France, Spain and the United States, the film stars Liam Neeson, Forest Whitaker, Maggie Grace and Famke Janssen.",Dougray Scott-Famke Janssen-Forest Whitaker-Leland Orser-Liam Neeson-Maggie Grace-Sam Spruell,Taken 3,American sequel films-English-language French films-English-language films-EuropaCorp films-Films directed by Olivier Megaton-Films scored by Nathaniel Méchaly-Films set in Afghanistan-Films set in Los Angeles-Films shot in Georgia (U.S. state)-Films shot in Los Angeles-Films with screenplays by Luc Besson-Films with screenplays by Robert Mark Kamen-French action thriller films-French films-French sequel films-French vigilante films-IMAX films-Spanish action thriller films-Spanish films-TSG Entertainment films-Taken (franchise),na,Olivier Megaton,3.264E8,Olivier Megaton,English
65,Cover Story (2000 film),26394441,"Cover Story is a 2000 Indian Malayalam-language action-thriller film directed by G. S. Vijayan, written by B. Unnikrishnan and produced by Menaka under the production banner Revathy Kalamandhir. Starring Suresh Gopi and Tabu. The film was edited by A. Sreekar Prasad and had soundtrack composed by Sharreth.",Biju Menon-Nedumudi Venu-Tabu-Suresh Gopi,Cover Story,2000 action thriller films-2000 films-2000s Malayalam-language films-Films directed by G. S. Vijayan-Indian action thriller films-Indian films,na,G. S. Vijayan,na,G. S. Vijayan,http://dbpedia.org/resource/Malayalam
66,Taken 2,35874076,"Taken 2 is a 2012 English-language French action-thriller film directed by Olivier Megaton and starring Liam Neeson, Maggie Grace, Famke Janssen, Rade Šerbedžija, Leland Orser, Jon Gries, D.B. Sweeney and Luke Grimes. It follows Bryan Mills taking his family to Istanbul, only to be kidnapped, along with his ex-wife, by the father of one of the men he killed while saving his daughter two years prior.",Famke Janssen-Liam Neeson-Maggie Grace-Rade Šerbedžija,Taken 2: Original Motion Picture Soundtrack,2012 films-20th Century Fox films-Albanian Mafia-American action thriller films-American films-American sequel films-English-language French films-English-language films-Films about families-Films about kidnapping-Films produced by Luc Besson-Films set in Los Angeles-Films set in Paris-Films shot in Paris-French films about revenge,na,Olivier Megaton,na,Olivier Megaton,English
67,Blood Brother (2018 film),49218770,"Blood Brother is an American action-thriller film directed by John Pogue and written by Michael Finch, Karl Gajdusek, and Charles Murray. The film stars Trey Songz.",China Anne McClain-Fetty Wap-Hassan Johnson-Jack Kesy-Ron Killings-Trey Songz,Blood Brother,2018 action thriller films-American action thriller films-American films-Films directed by John Pogue-Films shot in New Orleans-Hood films-WWE Studios films,na,John Pogue,na,John Pogue,English
68,Primal (2019 film),62093882,"Primal is a 2019 action-thriller film directed by Nick Powell and starring Nicolas Cage, Famke Janssen, Kevin Durand, LaMonica Garrett, and Michael Imperioli. The film was shot in Puerto Rico and released in the United States on November 8, 2019.",-Famke Janssen-Kevin Durand-LaMonica Garrett-Michael Imperioli-Nicolas Cage,Primal,2019 action thriller films-2019 films-American action thriller films-American films,na,na,na,na,English
69,Point Break (2015 film),42041384,"Point Break is a 2015 action-thriller film directed and shot by Ericson Core and written by Kurt Wimmer which he co-produced with John Baldecchi, Broderick Johnson, Andrew A. Kosove, Christopher Taylor and David Valdes. An American-German-Chinese co-production, the film is a remake of the 1991 film of the same name. The film stars Édgar Ramírez, Luke Bracey, Teresa Palmer, Delroy Lindo and Ray Winstone, and was released in China on December 4, 2015 by China Film Group and in the United States on December 25, 2015 by Warner Bros. in 3D and RealD 3D. The film received negative reviews from critics, and grossed $133 million from a $105 million budget.",-Delroy Lindo-Luke Bracey-Ray Winstone-Teresa Palmer-Édgar Ramírez,Point Break,2010s adventure films-2010s crime drama films-2010s sports films-2015 3D films-2015 action thriller films-2015 drama films-2015 films-Alcon Entertainment films-American 3D films-American action adventure films-American action thriller films-American adventure thriller films-American crime drama films-American film remakes-American films-American surfing films-Babelsberg Studio films-Chinese films-DMG Entertainment films-English-language German films-English-language films-Films about bank robbery-Films about the Federal Bureau of Investigation-Films directed by Ericson Core-Films produced by David Valdes-Films scored by Junkie XL-Films set in Paris-Films set in Venezuela-Films shot in Austria-Films shot in France-Films shot in Germany-Films shot in Hawaii-Films shot in India-Films shot in Italy-Films shot in Mexico-Films shot in Tahiti-Films shot in Venezuela-Films with screenplays by Kurt Wimmer-Foreign films shot in Switzerland-German action thriller films-German crime films-German films-German sports films-Lionsgate films-Summit Entertainment films-Warner Bros. films,Ericson Core,Ericson Core,1.337E8,Ericson Core,English
70,Taken (film),15593618,"Taken (also titled 96 Hours and The Hostage) is a 2008 action-thriller film written by Luc Besson and Robert Mark Kamen, and directed by Pierre Morel. It stars Liam Neeson, Maggie Grace, Famke Janssen, Katie Cassidy, Leland Orser, and Holly Valance. Neeson plays Bryan Mills, a former CIA operative who sets about tracking down his teenage daughter Kim (Grace) and her best friend Amanda (Cassidy) after the two girls are kidnapped by Albanian human traffickers while traveling in France during a vacation.",-David Warshofsky-Famke Janssen-Holly Valance-Jon Gries-Katie Cassidy-Leland Orser-Liam Neeson-Maggie Grace,Taken,2000s action thriller films-2008 films-20th Century Fox films-Albanian Mafia-American action thriller films-American films-English-language French films-English-language films-EuropaCorp films-Films about child abduction-Films about human trafficking-Films about organized crime in France-Films about prostitution in Paris-Films directed by Pierre Morel-Films produced by Luc Besson-Films scored by Nathaniel Méchaly-Films set in Los Angeles-Films set in Paris-Films shot in France-Films shot in Los Angeles-Films with screenplays by Luc Besson-Films with screenplays by Robert Mark Kamen-French action thriller films-French films-French vigilante films-Human trafficking in France-Taken (franchise)-Works about sex trafficking,Michel Abramowicz,Pierre Morel,2.268E8,Pierre Morel,English
71,Jack Reacher: Never Go Back,46787898,"Jack Reacher: Never Go Back is a 2016 American action-thriller film directed by Edward Zwick, written by Zwick, Richard Wenk, and Marshall Herskovitz, and based on the 2013 novel Never Go Back by Lee Child. A sequel to the 2012 film Jack Reacher, the film stars Tom Cruise and Cobie Smulders, with supporting roles by Patrick Heusinger, Aldis Hodge, Danika Yarosh, Holt McCallany, and Robert Knepper. The plot follows Reacher going on the run with an Army major who has been framed for espionage, as the two reveal a dark conspiracy.",-Cobie Smulders-Tom Cruise,Jack Reacher: Never Go Back,"2016 action thriller films-2016 crime thriller films-2016 films-American action thriller films-American crime thriller films-American detective films-American films-American sequel films-Films about Halloween-Films based on British novels-Films based on thriller novels-Films directed by Edward Zwick-Films produced by Tom Cruise-Films scored by Henry Jackman-Films set in 2016-Films set in Washington, D.C.-Films shot in Louisiana-Films shot in New Orleans-IMAX films-Jack Reacher-Paramount Pictures films-Skydance Media films",Oliver Wood (cinematographer),Edward Zwick,1.621E8,Edward Zwick,English
72,A Good Day to Die Hard,34228306,"A Good Day to Die Hard is a 2013 American action-thriller film and the fifth installment in the Die Hard film series. The film was directed by John Moore and written by Skip Woods, and stars Bruce Willis as John McClane. The main plot finds McClane travelling to Russia to get his estranged son, Jack, an undercover CIA agent, out of prison. He is soon caught in the crossfire of a global terrorist plot. Alongside Willis, the film also stars Jai Courtney, Cole Hauser, Yulia Snigir and Sebastian Koch.",-Amaury Nolasco-Bruce Willis-Cole Hauser-Jai Courtney-Rasha Bukvić-Sebastian Koch-Sergei Kolesnikov-Yulia Snigir,A Good Day to Die Hard,"2013 action thriller films-2013 films-20th Century Fox films-American action thriller films-American films-American sequel films-Die Hard-English-language films-Films about families-Films about nuclear war and weapons-Films about terrorism in Europe-Films about the Central Intelligence Agency-Films directed by John Moore-Films produced by Wyck Godfrey-Films scored by Marco Beltrami-Films set in Moscow-Films set in New York City-Films set in Ukraine-Films set in Washington, D.C.-Films shot in Belgrade-Films shot in Budapest-Films with screenplays by Skip Woods-IMAX films-Russian-language films-TSG Entertainment films",Jonathan Sela,John Moore (director),3.047E8,John Moore (director),
73,Waar,31373410,"Waar (Urdu: وار Wār; IPA: [ʋɑːr], transl. The strike) is a 2013 Pakistani action-thriller film directed by Bilal Lashari and , written and produced by Hassan Rana. The film features Shaan Shahid, Meesha Shafi, Ali Azmat, Shamoon Abbasi, Ayesha Khan, Suhaib Rana and Kamran Lashari. It is the sixth highest-grossing Pakistani film. It is a stylized depiction of events surrounding Pakistan's efforts to conduct a war on terror on state-sponsored terror groups, which resulted in warfare among tribal units in North-West Pakistan. One incident included a terrorist attack on a Police Academy at Lahore in 2009.",-Ali Azmat-Ayesha Khan-Meesha Shafi-Shaan Shahid-Shamoon Abbasi,Waar,2010s action war films-2013 directorial debut films-2013 films-English-language Pakistani films-Films about terrorism in Asia-Films about the Research and Analysis Wing-Films directed by Bilal Lashari-Films set in Azad Kashmir-Films set in Islamabad-Films shot in Islamabad-Films shot in Istanbul-Films shot in Karachi-Films shot in Khyber Pakhtunkhwa-Films shot in Lahore-India–Pakistan relations in popular culture-Insurgency in Khyber Pakhtunkhwa fiction-Kashmir conflict in films-Military of Pakistan in films-MindWorks Media films-Pakistani action thriller films-Pakistani action war films-Pakistani biographical films-Pakistani films-Pakistani spy thriller films-Urdu-language films,Bilal Lashari,Bilal Lashari,3.465E8,Bilal Lashari,"English, Urdu"
74,Kidnap (2017 film),44231002,"Kidnap is a 2017 American action-thriller film directed by Luis Prieto and written by Knate Lee. It stars Halle Berry as a working mother who pursues two child trafficking abductors (Chris McGinn and Lew Temple) after they kidnap her six-year-old son (Sage Correa). Produced by Lorenzo di Bonaventura through Di Bonaventura Pictures, the film was created on a $21 million budget.",-Chris McGinn-Halle Berry-Lew Temple-Sage Correa,Kidnap,2017 action thriller films-American action thriller films-American chase films-American films-Di Bonaventura Pictures films-Films about child abduction-Films produced by Halle Berry-Films produced by Lorenzo di Bonaventura-Films scored by Federico Jusid-Films set in New Orleans-Films shot in Louisiana-Films shot in New Orleans,na,Luis Prieto (director),3.48E7,Luis Prieto (director),English
75,Theri (film),47133788,"Theri (transl. Spark) is a 2016 Indian Tamil-language action-thriller film written and directed by Atlee and produced by Kalaipuli S. Thanu. The film stars Vijay, Samantha Ruth Prabhu, and Amy Jackson. Featuring music composed by G. V. Prakash Kumar and cinematography handled by George C. Williams. The story revolves around a baker who holds a secret identity as former Deputy commissioner of police and he is on a secret Ghost Protocol mission organised by the Commissioner of police.",Amy Jackson-Samantha Ruth Prabhu-Vijay (actor),Theri,2010s Tamil-language films-2010s police procedural films-2016 action films-2016 films-Fictional portrayals of the Tamil Nadu Police-Films about rape-Films about rape in India-Films directed by Atlee (director)-Films scored by G. V. Prakash Kumar-Films set in Chennai-Films set in Kerala-Films shot in Bangkok-Films shot in Chennai-Films shot in Goa-Films shot in Jammu and Kashmir-Films shot in Kerala-Films shot in Ladakh-Indian action films-Indian films-Indian police films-Masala films-Tamil-language films,George C. Williams (cinematographer),Atlee (director),na,Atlee (director),Tamil
76,7500 (film),57467108,"7500 is a 2019 action-thriller film written and directed by Patrick Vollrath in his directorial feature-length film debut. It stars Joseph Gordon-Levitt as Tobias Ellis, a pilot whose plane is hijacked by terrorists. An international co-production between Austria, Germany, and the United States, filming took place in November 2017 in Cologne and Vienna. The title is in reference to Emergency Transponder Code for unlawful interference"".""",-Aylin Tezel-Carlo Kitzlinger-Joseph Gordon-Levitt-Murathan Muslu-Omid Memar-Paul Wollin,7500,2019 action thriller films-2019 films-Amazon Studios films-American action thriller films-American films-English-language films-FilmNation Entertainment films-Films about aircraft hijackings-Films shot in Cologne (Germany)-Films shot in Vienna-German action thriller films-German films,Sebastian Thaler,Patrick Vollrath,na,Patrick Vollrath,"English, German, Turkish"
77,Kaante,1792743,"Kaante (lit. 'Thorns') is a 2002 Indian Hindi-language action-thriller film directed by Sanjay Gupta, written by Milap Zaveri, and starring an ensemble cast including Amitabh Bachchan, Sanjay Dutt, Sunil Shetty, Lucky Ali, Mahesh Manjrekar, Kumar Gaurav, Namrata Singh Gujral, Rati Agnihotri, Rohit Roy, Isha Koppikar and Malaika Arora. Set in Los Angeles, the film follows six Indian men who are detained without evidence by the police. Feeling wronged and vengeful, they team up to plot a bank heist that would leave the Los Angeles Police Department penniless. However, once things go out of hand, they start suspecting each other's identities, resulting in violence and chaos.",Amitabh Bachchan-Isha Koppikar-Kumar Gaurav-Lucky Ali-Mahesh Manjrekar-Malaika Arora-Namrata Singh Gujral-Rati Agnihotri-Rohit Roy-Sanjay Dutt-Sunil Shetty,Kaante,2000s Hindi-language films-2000s heist films-2002 action thriller films-2002 films,na,Sanjay Gupta (director),na,Sanjay Gupta (director),Hindi
78,Gehri Chaal,20903442,"Gehri Chaal (transl. Deep Trap) is a 1973 Indian Hindi-language action-thriller film, produced and directed by C. V. Sridhar under the Chithrakala Pictures banner. It stars Jeetendra, Amitabh Bachchan, Hema Malini and music composed by Laxmikant–Pyarelal. The director remade the movie in Tamil in 1975 as Vaira Nenjam.",Amitabh Bachchan-Hema Malini-Jeetendra,Gehri Chaal,1970s Hindi-language films-1970s action thriller films-1973 films-Films directed by C. V. Sridhar-Films scored by Laxmikant–Pyarelal-Hindi films remade in other languages-Indian action thriller films-Indian films,na,C. V. Sridhar,na,C. V. Sridhar,http://dbpedia.org/resource/Hindi
